"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.346576501E1,5.353320122E0,2.957365751E0,4.514621735E0
5.348176501E1,5.753218651E0,4.231885910E0,5.417973042E0
5.349776501E1,6.934613705E0,5.100492001E0,6.358118534E0
5.351376501E1,8.810097694E0,5.434550762E0,7.316115379E0
5.352976501E1,9.893971443E0,7.253301144E0,5.957425117E0
5.354576501E1,1.102225304E1,9.944326401E0,7.006612301E0
5.356176501E1,1.215059280E1,1.220495987E1,8.221056938E0
5.357776501E1,1.387779903E1,1.226594543E1,8.630321503E0
5.359376501E1,1.507735157E1,9.982259750E0,8.652299881E0
5.360976501E1,1.430080700E1,7.955137253E0,7.631048679E0
5.362576501E1,1.237965012E1,5.911149979E0,6.272367954E0
5.364176501E1,1.115742111E1,2.436818600E0,4.491962910E0
5.365776501E1,8.158692360E0,2.772293985E-1,4.582530975E0
5.367376501E1,1.809259892E0,6.876721978E-1,3.641571283E0
5.368976501E1,-3.703676701E0,3.281713247E0,9.396188259E-1
5.370576501E1,-7.744438171E0,5.085877895E0,-7.704828382E-1
5.372176501E1,-1.114434719E1,5.341004372E0,-4.897961915E-1
5.373776501E1,-1.265194798E1,5.603476048E0,-1.114998937E0
5.375376501E1,-1.340586281E1,5.838778019E0,-1.904922605E0
5.376976501E1,-1.417443085E1,5.662468910E0,-1.450598836E0
5.378576501E1,-1.467511559E1,5.556702614E0,-9.495499730E-1
5.380176501E1,-1.281752110E1,5.747128010E0,8.649579883E-1
5.381776501E1,-8.340699196E0,6.682456493E0,1.030339956E0
5.383376501E1,-4.859463215E0,6.791650772E0,3.091412306E0
5.384976501E1,-2.666920424E0,5.943117142E0,4.529360294E0
5.386576501E1,-5.754032731E-1,4.516594410E0,6.468386173E0
5.388176501E1,3.876691163E-1,4.306326389E0,6.770840645E0
5.389776501E1,-4.262062013E-1,5.766195297E0,7.245898247E0
5.391376501E1,-2.119088888E0,6.264754295E0,6.589350700E0
5.392976501E1,-4.956102848E0,5.770236969E0,5.173994064E0
5.394576501E1,-7.894764900E0,6.148578167E0,3.535776138E0
5.396176501E1,-9.977375984E0,7.635904312E0,2.415490866E0
5.397776501E1,-1.118882370E1,8.244816780E0,2.591886282E0
5.399376501E1,-1.167305470E1,7.657049656E0,2.375057697E0
5.400976501E1,-1.019780540E1,6.845051289E0,2.299075127E0
5.402576501E1,-8.252267838E0,6.222329140E0,2.307598591E0
5.404176501E1,-7.028140545E0,5.489253521E0,2.557419300E0
5.405776501E1,-6.271630287E0,4.728260994E0,2.767419338E0
5.407376501E1,-5.288973808E0,4.920218945E0,2.578497887E0
5.408976501E1,-5.570818901E0,5.663072109E0,1.903102994E0
5.410576501E1,-6.958746910E0,5.617237568E0,1.872208238E0
5.412176501E1,-8.081589699E0,5.870879173E0,1.968167901E0
5.413776501E1,-8.861850739E0,6.859607697E0,1.706788063E0
5.415376501E1,-1.033394909E1,6.855384827E0,2.008811951E0
5.416976501E1,-1.066525841E1,6.992907524E0,2.179461002E0
5.418576501E1,-8.532637596E0,7.734909058E0,2.028808117E0
5.420176501E1,-6.372723103E0,7.954141617E0,1.227966905E0
5.421776501E1,-6.321362972E0,6.025841713E0,1.338780165E0
5.423376501E1,-8.407335281E0,5.167807579E0,1.856502295E0
5.424976501E1,-9.909227371E0,7.252621174E0,1.752134323E0
5.426576501E1,-9.374152184E0,7.925391674E0,1.296259165E0
5.428176501E1,-7.867854595E0,5.650497913E0,1.259139419E0
5.429776501E1,-8.351693153E0,4.226924896E0,1.145003080E0
5.431376501E1,-8.856995583E0,5.186089993E0,1.274567604E0
5.432976501E1,-7.344069958E0,6.592108727E0,1.383704901E0
5.434576501E1,-5.742090225E0,7.066218376E0,1.090740800E0
5.436176657E1,-4.947905064E0,6.323680878E0,1.547133207E0
5.437776501E1,-5.159179211E0,5.151584625E0,1.513077974E0
5.439376501E1,-6.959819794E0,4.623615265E0,1.233128786E0
5.440976501E1,-8.959256172E0,4.643630981E0,6.832380891E-1
5.442576501E1,-9.549043655E0,4.993308544E0,3.537768126E-1
5.444176501E1,-8.641919136E0,5.960949421E0,7.246578336E-1
5.445776501E1,-7.170116901E0,6.279675007E0,1.472826719E0
5.447376501E1,-6.793317318E0,5.554107189E0,1.073023677E0
