"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.455797303E0,6.003288746E0,-2.568961143E1,1.270463943E1
3.471797303E0,5.424149990E0,-1.643421364E1,1.044349766E1
3.487795741E0,5.807653427E0,-9.727574348E0,8.433919907E0
3.503797303E0,5.990580082E0,-5.098193645E0,5.932036877E0
3.519797303E0,6.072710514E0,-1.556518376E-1,4.176282883E0
3.535797303E0,6.674325466E0,5.899006367E0,2.931795597E0
3.551797303E0,7.151154995E0,1.087339115E1,1.377163887E0
3.567797303E0,7.123707294E0,1.271229172E1,-1.971242070E0
3.583797303E0,1.029812241E1,1.047981358E1,-6.547461987E0
3.599797303E0,1.047375107E1,3.321734667E0,-2.480144024E0
3.615797303E0,6.288475990E0,-2.369234800E0,2.019758224E0
3.631797303E0,1.107567310E0,-4.159283638E0,2.263784647E0
3.647797303E0,-1.739234209E0,-3.049925804E0,-8.237873316E-1
3.663797303E0,-1.729705334E0,-1.657304645E0,-3.246068478E0
3.679797303E0,-1.591349244E0,-5.537117720E-1,-4.536983490E0
3.695797303E0,-1.436003923E0,1.009223104E0,-4.693123341E0
3.711797303E0,-1.317672849E0,2.404832125E0,-4.191710949E0
3.727795741E0,-5.858611465E-1,2.522904396E0,-2.945768356E0
3.743797303E0,2.928204238E-1,1.783613324E0,-2.322040558E0
3.759797303E0,8.692579865E-1,1.409342051E0,-2.750650406E0
3.775795741E0,1.330697298E0,1.906081438E0,-2.445820808E0
3.791795741E0,1.301124096E0,1.663079619E0,-7.626585960E-1
3.807797303E0,1.919546366E0,1.510607123E0,-5.701743364E-1
3.823797303E0,1.526657939E0,4.793450356E0,-2.352293730E0
3.839797303E0,-5.760075569E0,1.245973206E1,6.464162827E0
3.855797303E0,-1.275804996E1,2.311422729E1,1.217509937E1
3.871797303E0,-5.458990574E0,1.941643906E1,8.898663521E0
3.887795741E0,-1.048475456E1,2.692776680E1,7.673052788E0
3.903795741E0,-1.488623619E1,2.979975700E1,6.881807327E0
3.919795741E0,-1.955726624E1,3.623377991E1,3.715533018E0
3.935795741E0,-1.891391563E1,3.807815933E1,7.479485869E-1
3.951795741E0,-1.813450813E1,3.366400909E1,2.421696663E0
3.967795741E0,-1.853070831E1,3.241306686E1,4.482098579E0
3.983795741E0,-1.644925690E1,3.080008316E1,6.122797489E0
3.999795741E0,-1.222338581E1,2.712507057E1,6.808075428E0
4.015797303E0,-9.141464233E0,2.257868195E1,7.424936295E0
4.031797303E0,-6.081636429E0,1.880411720E1,7.214055061E0
4.047797303E0,-2.811875105E0,1.509245396E1,6.262618542E0
4.063797303E0,1.661480218E-1,1.047037983E1,4.327404976E0
4.079797303E0,1.550207257E0,5.972508430E0,2.359092951E0
4.095797303E0,1.941582680E0,2.296556711E0,3.011139631E-1
4.111797303E0,2.581983566E0,1.002787501E-1,-1.601424098E0
4.127797303E0,3.299478054E0,8.400775492E-2,-3.894609690E0
4.143797303E0,3.461670876E0,1.290599227E0,-4.845174789E0
4.159797303E0,2.055048466E0,2.395188332E0,-3.399441004E0
4.175797303E0,4.998805821E-1,3.760246992E0,-2.483629942E0
4.191797303E0,-5.271266103E-1,4.724871159E0,-1.949675083E0
4.207795741E0,-1.162212491E0,4.061102390E0,-1.595122576E0
4.223797303E0,-1.228091478E0,2.353528976E0,-1.579675198E0
4.239795741E0,-9.789411724E-2,1.336740255E0,-1.921107411E0
4.255797303E0,1.632405043E0,1.756865263E0,-3.163746119E0
4.271797303E0,3.745987177E0,2.602784634E0,-3.844408035E0
4.287797303E0,3.106869459E0,3.433390617E0,-3.519888163E0
4.303797303E0,2.552966118E0,5.326629162E0,-3.725272417E0
4.319826991E0,2.062078238E0,5.430671692E0,-1.054894924E0
4.335795741E0,8.400679231E-1,5.355005264E0,8.680896759E-1
4.351795741E0,1.298193574E0,4.937782288E0,1.709124923E0
4.367795741E0,1.452916503E0,3.019682169E0,1.523181558E0
4.383795741E0,2.191460729E-1,-3.916760683E0,9.022520065E0
4.399795741E0,1.072803497E0,-7.131732941E0,1.367931938E1
4.415795741E0,4.394959450E0,-5.043634892E0,1.848875427E1
4.431795741E0,6.207973480E0,-5.788700581E0,1.852999115E1
4.447795741E0,5.830350399E0,-9.376488686E0,1.736079597E1
4.463795741E0,4.836775780E0,-1.452132130E1,1.885878181E1
4.479795741E0,3.879909277E0,-1.764670372E1,1.817653084E1
4.495795741E0,4.459334850E0,-1.778301048E1,1.733150101E1
4.511795741E0,6.656139374E0,-1.556628513E1,1.558075619E1
4.527795741E0,8.117157936E0,-1.264262962E1,1.224340153E1
4.543795741E0,9.679853439E0,-9.632716179E0,8.891835213E0
4.559795741E0,9.731511116E0,-7.016543388E0,6.192516804E0
4.575795741E0,7.342958927E0,-3.594577789E0,2.622675419E0
4.591797303E0,2.469916105E0,9.542330503E-1,-1.067957640E0
4.607795741E0,-3.530777395E-1,6.423470497E0,-5.815611839E0
4.623795741E0,2.505302191E0,5.941996574E0,-4.653092861E0
4.639795741E0,3.512303352E0,2.527510643E0,-1.818721771E0
4.655795741E0,2.141910315E0,2.010679245E0,-2.104800224E0
4.671795741E0,1.080436110E0,3.639665604E0,-3.076281071E0
4.687795741E0,-1.358853132E-1,4.289997578E0,-3.488974333E0
4.703795741E0,-1.616019130E0,4.025897980E0,-3.028799295E0
4.719795741E0,-2.083827019E0,4.127488613E0,-1.470422983E0
4.735795741E0,-1.927792072E0,4.372377396E0,-1.393521130E-1
4.751795741E0,-1.303451300E0,5.125727177E0,-5.153088570E-1
4.767795741E0,-1.369674802E-1,5.437691689E0,-6.245418787E-1
4.783795741E0,7.086645365E-1,4.726336002E0,-9.910175204E-1
4.799795741E0,1.653110147E0,3.620607615E0,-4.883788526E-1
4.815795741E0,2.926298618E0,2.020418882E0,5.130391121E-1
4.831795741E0,3.635221720E0,-1.886152029E-1,7.114130855E-1
4.847812928E0,4.361086369E0,-2.113170385E0,5.828923583E-1
4.863795741E0,5.352094173E0,-2.413997173E0,1.328571320E0
4.879795741E0,6.016523361E0,-7.234416008E-1,1.443981290E0
4.895795741E0,5.131387234E0,4.287172318E0,1.013494372E0
4.911795741E0,-1.127860546E-1,1.613140297E1,6.079462528E0
4.927795741E0,-1.001695728E1,4.423136139E1,8.331764221E0
4.943795741E0,-5.369141102E-1,2.501401520E1,1.019681835E1
4.959795741E0,-1.241318893E1,3.531147003E1,3.114961624E0
