"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.776675944E0,1.391232252E0,2.543394852E1,1.011056995E1
4.792675944E0,-4.596934319E0,3.348978424E1,1.327043724E1
4.808675944E0,-1.112752151E1,3.242221451E1,1.278319836E1
4.824675944E0,-1.223417854E1,2.954922867E1,8.034701347E0
4.840675944E0,-9.792016983E0,2.701994514E1,7.166200161E0
4.856675944E0,-6.412534237E0,2.239894485E1,7.584246635E0
4.872675944E0,-1.979755878E0,1.822467422E1,5.398580074E0
4.888675944E0,3.675090075E0,1.449884510E1,3.456470728E0
4.904675944E0,7.947897434E0,1.098545933E1,3.565694094E0
4.920675944E0,9.088600159E0,8.173632622E0,4.480355740E0
4.936675944E0,7.075823784E0,5.937016964E0,4.378985405E0
4.952675944E0,4.930513859E0,3.669621468E0,2.948689222E0
4.968675944E0,3.415711880E0,1.288070917E0,2.355386972E0
4.984675944E0,2.272087812E0,-3.696647286E-1,1.767007113E0
5.000675944E0,1.327546477E0,-8.896566033E-1,1.306803226E0
5.016675944E0,8.149001002E-1,-4.166102707E-1,6.982258558E-1
5.032675944E0,7.592779398E-1,8.915624022E-1,1.006235108E-1
5.048675944E0,1.217039824E0,2.716250420E0,-6.024481654E-1
5.064675944E0,1.523172021E0,3.930024624E0,-9.163088799E-1
5.080675944E0,1.262912750E0,4.472780704E0,-1.139735699E0
5.096677507E0,1.494795918E0,4.696523666E0,-1.708665133E0
5.112677507E0,2.038404226E0,4.379483223E0,-1.473430037E0
5.128677507E0,2.316428423E0,3.921482086E0,-1.079986095E0
5.144675944E0,2.413364887E0,3.644635677E0,-8.901641965E-1
5.160675944E0,2.104359627E0,3.730041742E0,-1.079698682E0
5.176675944E0,3.556509972E0,2.772571802E0,-3.913274705E-1
5.192675944E0,6.387653351E0,8.522017002E-1,1.686830044E0
5.208675944E0,8.891729355E0,-1.628631711E0,1.883700490E0
