"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.568237929E0,-3.704404533E-1,1.909404516E0,-1.341768026E0
3.584237929E0,3.069270849E-1,2.217519283E0,-1.693208098E0
3.600237929E0,6.604070663E-1,2.429166555E0,-1.961818457E0
3.616237929E0,9.157725573E-1,2.712266684E0,-2.340073586E0
3.632237929E0,9.820153117E-1,2.536781311E0,-2.554297209E0
3.648237929E0,5.485211611E-1,1.769104362E0,-2.620769739E0
3.664237929E0,3.025408983E-1,7.077835202E-1,-2.508041143E0
3.680237929E0,-1.516698003E0,-1.349697590E0,6.352295727E-2
3.696237929E0,-3.361727238E0,-4.902396202E0,3.355952740E0
3.712237929E0,-2.532538652E0,-9.616311073E0,5.555352688E0
3.728237929E0,1.230581403E0,-1.304026890E1,9.697857857E0
3.744237929E0,4.427922726E0,-1.457362080E1,1.278770924E1
3.760237929E0,4.683211803E0,-1.783221436E1,1.715479088E1
3.776237929E0,5.185419559E0,-2.261675072E1,1.918580055E1
3.792237929E0,5.549357414E0,-2.512591171E1,2.066287041E1
3.808237929E0,5.188014507E0,-2.359194756E1,2.158298111E1
3.824237929E0,4.821088791E0,-2.190776062E1,2.108961296E1
3.840237929E0,5.487797260E0,-1.898455429E1,1.738156891E1
3.856237929E0,5.741295815E0,-1.514945507E1,1.322840500E1
3.872237929E0,4.583239079E0,-1.219085312E1,9.654914856E0
3.888237929E0,3.056801796E0,-9.750693321E0,5.823493481E0
3.904237929E0,1.680413604E0,-7.074684143E0,2.920629263E0
3.920237929E0,8.574498296E-1,-3.249659538E0,7.702721357E-1
3.936237929E0,5.441254377E-1,1.188481688E0,-6.251739264E-1
3.952237929E0,4.112568200E-1,4.674602032E0,-2.188108861E-1
3.968237929E0,2.896792591E-1,6.175843239E0,-1.450503021E-1
3.984258241E0,2.920926083E-3,4.935914993E0,-9.764990807E-1
4.000237929E0,-8.532934785E-1,1.913101196E0,-9.349452853E-1
4.016237929E0,-2.285744429E0,3.224606514E-1,-8.308550119E-1
4.032237929E0,-3.337622643E0,8.539447188E-1,-7.346176505E-1
4.048237929E0,-3.266706228E0,2.166398287E0,-9.660029411E-1
4.064237929E0,-2.654470444E0,2.901580811E0,-1.127104044E0
4.080237929E0,-1.954415560E0,3.296739101E0,-9.565123320E-1
4.096237929E0,-6.329119802E-1,3.324770451E0,-5.636333823E-1
4.112237929E0,8.197554946E-1,3.187199593E0,-7.051403075E-2
4.128237929E0,2.301871777E0,3.051295280E0,6.469516158E-1
4.144237929E0,3.297361612E0,2.709604263E0,8.641344309E-1
4.160237929E0,3.809567690E0,1.975656986E0,1.099752545E0
4.176237929E0,3.856790781E0,1.092981815E0,8.218911290E-1
4.192237929E0,4.375211716E0,2.807345390E-1,1.605570793E0
4.208237929E0,4.546627522E0,-2.506729066E-1,2.648772478E0
4.224237929E0,5.403684616E0,8.501044512E-1,2.540276766E0
4.240237929E0,9.492627144E0,7.819845676E-1,8.375262260E0
4.256237929E0,1.284624195E1,1.878998160E0,9.847035408E0
4.272237929E0,1.286982059E1,3.435104847E0,1.237136745E1
4.288237929E0,1.465737057E1,3.449632883E0,1.336044979E1
4.304237929E0,2.188816643E1,4.034076691E0,1.521433830E1
4.320237929E0,2.602234840E1,4.563769817E0,1.705741501E1
4.336237929E0,3.367861176E1,4.930025578E0,1.626093864E1
4.352237929E0,3.759641647E1,4.916033745E0,1.497208309E1
4.368237929E0,3.692352295E1,4.981213570E0,1.326232624E1
4.384237929E0,3.243302536E1,4.811052799E0,1.195963097E1
4.400237929E0,2.760558510E1,4.193118572E0,1.119025040E1
4.416237929E0,2.424464417E1,3.800172567E0,9.496801376E0
4.432237929E0,2.073078918E1,2.780233145E0,8.116573334E0
4.448237929E0,1.702533150E1,1.540496469E0,6.496809959E0
4.464237929E0,1.312375832E1,4.301326871E-1,4.289652824E0
4.480237929E0,9.792782784E0,3.816261590E-1,2.606165171E0
4.496237929E0,6.481065750E0,1.085904598E0,1.366093159E0
4.512237929E0,3.798104048E0,2.151956320E0,3.239929378E-1
